,sex,age,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,G3
196,1,17,0,4,4,3,0,0,1,1,0,1,0,0,0,0,1,5,2,3,5,4,17,15,16.0
197,1,16,1,3,3,4,1,1,3,1,0,1,1,1,1,0,1,3,3,4,3,8,9,9,10.0
198,0,17,0,4,4,3,0,0,2,1,1,1,1,0,0,0,1,4,2,4,2,24,18,18,18.0
199,0,16,1,4,4,4,0,0,1,2,0,1,1,1,0,0,1,4,5,2,3,0,9,9,10.0
200,0,16,0,4,3,1,1,0,1,2,0,1,1,0,1,0,1,4,3,5,2,2,16,16,16.0
201,0,16,0,2,3,2,1,0,1,2,0,0,1,1,1,0,0,4,4,3,4,6,8,10,10.0
202,0,17,0,1,1,2,1,0,1,2,0,1,1,1,0,0,0,4,4,4,1,4,9,9,10.0
203,0,17,0,2,2,2,1,0,1,1,0,1,1,0,0,0,1,5,3,2,3,18,7,6,6.0
204,0,16,0,2,2,3,2,0,2,4,0,1,1,1,1,0,1,5,3,5,5,6,10,10,11.0
205,0,17,0,3,4,0,2,0,1,3,1,1,1,1,0,0,1,4,4,3,5,28,10,9,9.0
206,0,16,0,3,1,3,1,0,1,2,3,1,1,1,0,0,1,2,3,3,4,5,7,7,7.0
207,0,16,0,4,3,4,1,0,1,2,0,1,0,1,1,0,1,1,3,2,1,10,11,12,13.0
208,0,16,0,1,1,0,1,0,2,1,0,1,1,1,0,0,0,4,3,2,5,6,9,9,10.0
209,0,17,0,4,3,4,1,0,2,3,0,1,1,1,1,0,1,4,4,2,4,6,7,7,7.0
210,0,19,0,3,3,2,1,2,1,4,0,1,1,1,1,0,1,4,3,3,3,10,8,8,8.0
211,1,17,1,4,4,3,1,0,1,2,0,1,1,1,0,0,1,5,3,5,3,13,12,12,13.0
212,0,16,0,2,2,2,1,0,1,2,0,0,1,1,0,0,1,3,3,4,4,0,12,13,14.0
213,1,18,0,2,2,3,1,0,1,2,1,1,1,1,1,0,1,4,4,4,5,15,6,7,8.0
214,0,17,1,4,4,3,1,0,1,1,0,1,1,1,0,0,0,5,2,1,3,12,8,10,10.0
215,0,17,1,3,2,2,1,0,2,2,0,1,0,1,0,0,1,4,4,4,1,2,14,15,15.0
216,0,17,0,4,3,2,1,0,1,2,2,1,0,1,0,0,1,3,4,5,1,22,6,6,4.0
217,1,18,1,3,3,3,3,1,1,2,1,1,1,1,0,0,1,3,2,4,4,13,6,6,8.0
218,0,17,0,2,3,0,1,1,2,1,0,1,1,1,0,0,0,3,3,3,3,3,7,7,8.0
219,0,17,0,2,2,0,4,0,1,3,0,1,1,1,1,0,1,4,3,3,4,4,9,10,10.0
220,0,17,0,2,1,0,2,0,2,2,0,1,1,0,1,0,1,4,2,5,5,2,6,6,6.0
222,0,16,0,2,3,3,0,0,1,2,0,0,0,0,0,0,1,2,3,1,3,2,16,16,17.0
223,1,18,0,2,2,2,1,0,2,2,0,1,1,1,0,0,1,3,3,3,4,0,12,13,13.0
224,0,16,0,4,4,4,2,0,1,3,0,1,1,0,1,0,1,5,3,2,5,0,13,13,14.0
225,0,18,0,3,1,2,1,0,1,2,1,1,0,0,1,0,1,5,3,3,4,16,9,8,7.0
226,0,17,0,3,2,2,1,0,1,2,0,1,0,0,1,0,1,5,3,4,3,10,16,15,15.0
227,1,17,1,2,3,3,2,1,1,2,0,1,1,1,0,0,1,5,3,3,3,2,12,11,12.0
228,1,18,1,2,1,0,1,0,4,2,0,0,1,1,1,0,1,4,3,2,3,14,10,8,9.0
229,0,17,0,2,1,2,1,0,2,3,0,1,0,0,1,0,1,3,2,3,3,10,12,10,12.0
230,0,17,1,4,3,1,1,1,1,2,0,1,0,0,1,0,1,3,2,3,3,14,13,13,14.0
231,1,17,0,2,2,2,1,1,2,2,0,1,1,1,1,0,1,4,5,2,1,4,11,11,11.0
232,1,17,0,4,4,4,0,0,1,2,0,0,1,0,1,0,1,4,5,5,2,14,11,9,9.0
233,1,16,0,4,4,1,1,1,1,2,0,1,1,1,1,0,1,4,2,4,1,2,14,13,13.0
234,1,16,1,1,1,2,1,0,2,2,0,1,1,1,0,0,1,3,4,2,5,18,9,7,6.0
235,1,16,0,3,2,0,1,0,2,3,0,1,0,0,1,0,1,5,3,3,2,10,11,9,10.0
236,1,17,1,2,2,2,1,1,1,2,0,1,0,1,1,0,1,4,4,2,4,4,14,13,13.0
237,0,16,0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,4,5,2,5,20,13,12,12.0
238,0,17,0,2,1,0,2,0,3,2,0,1,0,0,1,0,0,2,1,1,3,2,13,11,11.0
240,1,17,1,4,3,1,1,0,2,2,0,1,0,0,1,0,1,2,5,5,5,14,12,12,12.0
241,1,17,1,4,4,4,1,0,2,2,0,1,1,1,0,0,1,3,3,3,4,2,10,11,12.0
243,1,16,0,4,4,3,2,0,1,1,0,1,0,0,1,0,1,5,3,2,5,0,13,12,12.0
245,1,16,0,2,1,2,1,0,3,1,0,1,0,0,0,0,1,4,3,3,4,6,18,18,18.0
246,1,17,0,2,3,2,1,1,2,1,0,1,0,0,0,0,1,5,2,2,2,4,12,12,13.0
247,1,22,0,3,1,3,2,0,1,1,3,1,0,0,0,1,1,5,4,5,1,16,6,8,8.0
248,1,18,1,3,3,2,2,0,1,2,1,1,1,0,0,0,1,4,3,3,5,8,3,5,5.0
249,1,16,0,0,2,2,1,0,1,1,0,1,0,1,0,0,1,4,3,2,5,0,13,15,15.0
250,1,18,0,3,2,3,1,0,2,1,1,1,0,0,0,1,1,4,4,5,5,0,6,8,8.0
251,1,16,0,3,3,0,1,2,3,2,0,0,1,0,0,0,1,5,3,3,2,6,7,10,10.0
252,1,18,0,2,1,3,2,0,1,1,1,1,0,0,0,1,1,3,2,5,5,4,6,9,8.0
253,1,16,0,2,1,2,1,0,2,1,0,1,0,0,1,0,0,3,3,2,3,0,8,9,8.0
254,1,17,0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,4,4,2,5,0,8,12,12.0
255,1,17,1,1,1,1,1,0,2,1,1,1,1,0,1,0,1,4,4,4,5,2,7,9,8.0
256,0,17,1,4,2,4,2,0,1,4,0,1,1,1,1,0,1,4,2,3,4,6,14,12,13.0
257,1,19,1,4,3,3,4,0,1,2,0,1,1,0,0,0,1,4,3,1,1,12,11,11,11.0
258,1,18,0,2,1,2,1,0,1,2,0,1,0,0,1,0,1,5,2,4,4,8,15,14,14.0
260,0,18,0,4,3,3,1,1,1,2,0,1,1,1,0,0,1,3,1,2,2,21,17,18,18.0
261,1,18,0,4,3,4,1,0,1,2,0,1,1,1,0,0,1,4,3,2,3,2,8,8,8.0
262,1,18,0,3,2,2,1,0,1,3,0,1,0,0,1,0,0,5,3,2,3,1,13,12,12.0
263,0,17,0,3,3,2,1,0,1,3,0,1,0,0,1,0,0,3,2,3,4,4,10,9,9.0
265,1,18,1,3,4,2,1,0,2,2,0,1,1,1,1,0,1,4,2,5,1,13,17,17,17.0
266,1,17,0,3,1,3,1,0,1,2,0,1,0,1,1,0,1,5,4,4,5,2,9,9,10.0
267,0,18,0,4,4,4,1,0,2,2,0,1,0,1,1,0,1,4,3,4,4,8,12,10,11.0
268,1,18,0,4,2,1,1,1,1,2,0,1,1,1,1,0,1,5,4,5,5,10,10,9,10.0
270,0,19,0,3,3,2,2,2,1,2,2,1,1,1,1,0,1,4,3,5,5,15,9,9,9.0
271,0,18,0,2,3,2,2,1,1,4,0,1,1,1,1,0,1,4,5,5,2,4,15,14,14.0
272,0,18,1,1,1,2,1,0,2,2,0,1,1,1,0,0,0,4,4,3,3,2,11,11,11.0
273,1,17,0,1,2,0,4,0,1,2,0,1,1,1,1,0,0,3,5,2,1,2,15,14,14.0
274,0,17,0,2,4,0,3,0,2,2,0,1,1,1,0,0,1,4,3,3,1,2,10,10,10.0
275,0,17,1,2,2,3,1,0,2,2,0,0,1,1,0,0,1,4,4,4,5,6,12,12,12.0
276,0,18,0,3,2,2,2,0,2,2,0,1,0,0,0,1,1,4,1,1,5,75,10,9,9.0
277,1,18,0,4,4,4,2,0,2,1,0,1,0,1,1,0,1,3,2,4,3,22,9,9,9.0
278,0,18,0,4,4,1,3,1,1,2,1,0,1,0,1,0,1,2,4,4,4,15,9,8,8.0
279,1,18,1,4,3,4,2,0,2,1,0,1,0,1,1,0,1,4,2,3,1,8,10,11,10.0
280,1,17,1,4,1,3,1,0,2,1,0,1,0,1,1,0,1,4,5,4,5,30,8,8,8.0
281,1,17,1,3,2,4,2,0,1,1,1,1,0,0,0,0,1,4,4,4,3,19,11,9,10.0
282,0,18,1,1,1,0,1,0,2,4,0,1,1,1,1,0,0,5,2,2,3,1,12,12,12.0
283,0,18,0,1,1,2,1,0,2,2,0,0,0,0,1,0,1,5,4,4,4,4,8,9,10.0
284,0,17,0,2,2,2,1,0,1,2,0,1,1,0,0,0,1,5,4,5,5,4,10,9,11.0
285,1,17,0,1,1,2,1,1,1,2,0,1,0,1,0,0,1,4,3,3,4,2,12,10,11.0
286,0,18,0,2,2,0,4,0,1,3,0,1,1,1,0,0,1,4,3,3,2,5,18,18,19.0
287,0,17,0,1,1,3,0,0,1,3,0,1,1,1,0,0,1,4,3,3,3,6,13,12,12.0
288,1,18,0,2,1,3,2,0,1,3,0,1,0,1,1,0,1,4,2,4,2,6,15,14,14.0
289,1,18,1,4,4,4,0,0,1,2,0,1,1,1,1,0,1,5,4,3,2,9,15,13,15.0
290,1,18,0,4,2,4,1,0,1,2,0,1,1,1,1,0,1,4,3,2,5,11,12,11,11.0
291,0,17,0,4,3,1,2,0,1,3,0,1,1,1,0,0,1,4,2,2,3,0,15,15,15.0
292,0,18,1,2,1,3,4,0,1,2,1,1,0,0,0,0,1,5,4,3,5,12,12,12,13.0
293,0,17,1,3,1,3,1,0,2,4,0,1,1,1,0,0,0,3,1,2,3,6,18,18,18.0
294,1,18,1,3,2,3,1,0,2,3,0,1,1,1,1,0,1,5,4,2,4,8,14,13,14.0
295,1,17,0,3,3,1,1,0,1,1,0,1,1,1,0,0,1,4,4,3,5,4,14,12,11.0
297,0,18,1,4,3,2,1,2,2,2,0,1,1,1,0,0,1,4,4,5,2,10,10,8,8.0
298,0,18,0,4,3,2,1,1,1,4,0,1,1,1,0,0,1,4,3,3,3,0,14,13,14.0
299,1,18,1,4,4,4,0,0,1,1,0,1,1,1,0,0,1,1,4,2,1,5,16,15,16.0
300,0,18,1,4,4,1,1,0,1,2,0,1,1,0,0,0,1,4,2,4,4,14,12,10,11.0
301,1,17,1,4,4,2,0,1,2,1,0,1,0,1,0,0,1,4,1,1,5,0,11,11,10.0
302,0,17,0,4,2,2,1,0,2,3,0,1,1,1,0,0,1,4,3,3,3,0,15,12,14.0
303,0,17,0,3,2,1,3,1,1,4,0,1,1,1,1,0,1,5,2,2,5,0,17,17,18.0
304,1,19,0,3,3,2,1,2,1,2,1,1,1,0,1,0,1,4,4,4,3,20,15,14,13.0
305,0,18,0,2,4,3,4,2,1,2,1,1,1,1,1,0,1,4,4,3,3,8,14,12,12.0
306,1,20,0,3,2,3,1,2,1,1,0,1,0,0,1,0,0,5,5,3,5,0,17,18,18.0
307,1,19,0,4,4,4,2,2,2,1,1,1,1,1,0,0,1,4,3,4,4,38,8,9,8.0
308,1,19,0,3,3,2,2,1,1,2,1,1,0,0,1,0,0,4,5,3,5,0,15,12,12.0
309,0,19,1,1,1,0,1,2,1,2,1,0,1,0,1,0,1,4,4,3,3,18,12,10,10.0
311,0,19,0,2,1,0,1,2,3,2,0,1,1,0,0,1,1,3,4,1,2,20,14,12,13.0
312,1,19,0,1,2,2,2,2,1,2,1,1,0,0,0,0,1,4,5,2,4,3,13,11,11.0
313,0,19,1,3,2,3,1,2,2,2,1,1,1,1,0,0,1,4,2,2,1,22,13,10,11.0
314,0,19,0,1,1,0,3,2,1,3,2,1,0,0,0,0,1,4,1,2,3,14,15,13,13.0
315,0,19,0,2,3,2,1,2,1,3,1,1,0,0,0,0,1,4,1,2,3,40,13,11,11.0
317,0,18,0,4,3,2,1,0,1,3,0,1,1,1,1,0,1,4,3,4,5,9,9,10,9.0
318,0,17,0,3,4,0,2,1,1,3,0,1,1,1,1,0,1,4,3,4,5,0,11,11,10.0
319,0,18,0,4,4,4,1,0,1,2,0,1,1,1,0,0,1,4,4,4,5,2,11,11,11.0
320,0,17,0,4,3,3,2,0,1,2,0,1,1,1,0,0,1,5,2,2,5,23,13,13,13.0
321,0,17,0,2,2,2,1,0,1,2,0,1,1,0,0,0,0,4,2,2,3,12,11,9,9.0
322,0,17,1,2,2,3,2,0,1,3,0,1,1,1,1,0,1,3,3,2,3,3,11,11,11.0
323,0,17,0,3,1,3,2,1,1,3,0,1,1,0,0,0,1,3,4,3,5,1,12,14,15.0
324,0,17,1,0,2,0,4,1,2,3,0,1,0,0,0,0,1,3,3,3,2,0,16,15,15.0
325,1,18,0,4,4,2,1,0,1,3,0,1,0,0,1,0,1,4,3,3,3,3,9,12,11.0
326,1,17,0,3,3,2,2,0,1,1,0,1,0,0,1,0,1,4,3,5,5,3,14,15,16.0
327,1,17,0,2,2,3,1,0,4,1,0,1,1,0,0,0,1,4,4,5,4,8,11,10,10.0
328,0,17,0,4,4,4,2,0,1,3,0,1,1,1,1,0,1,5,4,4,4,7,10,9,9.0
329,0,17,0,4,4,4,0,0,2,3,0,1,1,1,0,0,1,4,3,3,4,4,14,14,14.0
330,1,18,1,2,2,2,1,0,1,4,0,1,1,0,1,0,1,4,5,5,5,2,9,8,8.0
331,0,17,0,2,4,0,1,1,1,3,0,1,1,0,0,0,1,4,4,3,5,7,12,14,14.0
335,0,17,0,3,4,3,1,0,1,3,0,1,0,0,0,0,1,4,4,5,5,16,16,15,15.0
336,0,19,0,3,1,3,4,2,1,3,1,1,0,1,0,0,0,5,4,3,5,12,14,13,13.0
338,0,18,1,3,3,3,2,0,1,4,0,1,1,0,0,0,1,5,3,3,1,7,16,15,17.0
339,0,17,0,3,2,2,1,0,1,2,0,1,1,1,0,0,1,4,3,3,2,4,9,10,10.0
340,0,19,0,2,1,3,2,2,1,3,1,1,0,1,1,0,1,4,3,4,3,4,11,12,11.0
342,1,18,1,3,4,3,1,0,1,2,0,1,0,0,1,0,1,4,3,3,5,11,16,15,15.0
344,0,18,0,2,3,0,1,0,1,3,0,1,1,0,0,0,1,4,3,3,3,4,11,10,10.0
345,0,18,0,3,2,2,2,0,1,3,0,1,0,0,0,0,1,5,4,3,1,7,13,13,14.0
346,1,18,0,4,3,4,2,0,1,3,0,1,0,0,0,0,1,5,3,2,4,9,16,15,16.0
347,1,18,0,4,3,4,1,0,1,3,0,1,1,1,0,0,1,5,4,5,5,0,10,10,9.0
348,0,17,0,4,3,1,1,0,1,3,0,1,1,1,1,0,1,4,4,3,4,0,13,15,15.0
349,1,18,0,3,2,2,1,0,2,1,1,1,1,0,0,0,1,2,5,5,5,10,11,13,13.0
350,1,19,0,1,1,2,2,2,3,2,3,1,0,0,0,0,1,5,4,4,2,8,8,7,8.0
351,1,17,0,3,3,1,1,0,2,2,0,1,1,1,0,0,1,4,5,4,3,2,13,13,13.0
352,1,18,1,1,3,0,2,0,1,1,1,1,0,0,0,1,1,4,3,3,3,7,8,7,8.0
353,1,19,0,1,1,2,1,2,3,1,1,1,1,0,0,0,1,4,4,4,5,4,8,8,8.0
354,1,17,0,4,3,3,1,0,2,2,0,1,1,1,1,0,1,4,5,5,2,4,13,11,11.0
355,0,18,0,3,3,3,2,1,1,2,0,1,1,0,0,0,0,5,3,4,5,0,10,9,9.0
356,0,17,0,4,4,4,2,1,2,2,0,1,1,1,1,0,1,4,3,3,5,4,12,13,13.0
357,0,17,1,3,2,3,1,0,2,2,0,1,0,0,0,0,0,1,2,3,5,2,12,12,11.0
358,1,18,1,1,1,2,2,1,2,1,0,1,0,0,0,0,1,3,3,2,3,4,10,10,10.0
359,0,18,1,1,1,0,2,1,2,3,0,1,0,0,0,0,1,5,3,2,4,0,18,16,16.0
360,0,18,1,1,4,0,1,0,3,2,0,1,0,0,0,0,0,4,3,4,5,0,13,13,13.0
361,1,18,1,1,1,0,1,0,2,2,1,1,0,0,1,1,0,4,4,3,5,2,13,12,12.0
362,0,18,0,3,3,3,2,0,2,2,0,1,1,0,0,0,1,4,3,2,3,0,11,11,10.0
363,0,17,1,4,4,0,4,0,1,2,0,1,1,1,1,0,1,2,3,4,1,0,16,15,15.0
364,0,17,0,1,2,2,2,1,2,2,0,1,0,0,0,0,0,3,2,2,3,0,12,11,12.0
365,1,18,0,1,3,0,1,0,2,2,0,1,1,1,0,0,0,3,3,4,3,4,10,10,10.0
366,1,18,1,4,4,4,2,0,2,3,0,1,0,1,0,0,1,4,2,2,5,0,13,13,13.0
368,0,18,0,2,3,0,2,1,2,1,0,1,1,1,0,0,1,5,2,3,4,0,11,10,10.0
369,0,18,0,4,4,2,0,1,3,2,0,1,1,1,0,0,1,3,2,2,5,10,14,12,11.0
370,0,19,1,3,2,3,2,2,2,2,2,1,0,0,1,0,0,3,2,2,3,4,7,7,9.0
371,1,18,1,1,2,0,2,1,3,1,0,1,1,1,1,1,1,4,3,3,3,3,14,12,12.0
372,0,17,0,2,2,2,4,0,1,3,0,1,0,0,1,0,0,3,4,3,3,8,13,11,11.0
373,0,17,0,1,2,2,1,0,1,1,0,1,0,0,1,0,1,3,5,5,1,14,6,5,5.0
374,0,18,1,4,4,2,1,0,2,3,0,1,0,0,0,0,1,5,4,4,1,0,19,18,19.0
375,0,18,0,1,1,2,1,0,4,3,0,1,0,0,0,0,1,4,3,2,4,2,8,8,10.0
376,0,20,0,4,2,1,1,2,2,3,2,1,1,1,0,0,1,5,4,3,3,4,15,14,15.0
377,0,18,1,4,4,4,2,0,1,2,0,1,0,1,1,0,1,5,4,3,2,4,8,9,10.0
378,0,18,0,3,3,2,1,0,1,2,0,1,0,1,0,0,1,4,1,3,1,0,15,15,15.0
379,0,17,0,3,1,0,1,0,1,2,0,1,1,1,1,0,1,4,5,4,1,17,10,10,10.0
380,1,18,0,4,4,4,0,1,1,2,0,1,0,1,1,0,1,3,2,4,2,4,15,14,14.0
381,1,18,0,2,1,2,1,0,2,1,0,1,0,0,1,0,1,4,4,3,5,5,7,6,7.0
382,1,17,0,2,3,2,2,1,2,2,0,1,0,0,1,0,1,4,4,3,3,2,11,11,10.0
384,1,18,0,4,2,2,1,1,2,1,1,1,0,1,0,0,0,5,4,3,3,14,6,5,5.0
385,0,18,0,2,2,0,1,0,2,3,0,1,0,1,0,0,0,5,3,3,4,2,10,9,10.0
386,0,18,0,4,4,4,4,0,3,1,0,1,1,1,1,0,1,4,4,3,5,7,6,5,6.0
388,0,18,1,3,1,4,2,0,1,2,0,1,1,1,0,0,1,4,3,4,1,0,7,9,8.0
390,1,20,1,2,2,3,2,2,1,2,2,1,1,1,0,0,0,5,5,4,4,11,9,9,9.0
391,1,17,1,3,1,3,2,0,2,1,0,1,0,0,0,0,1,2,4,5,2,3,14,16,16.0
392,1,21,0,1,1,2,1,2,1,1,3,1,0,0,0,0,0,5,5,3,3,3,10,8,7.0
393,1,18,1,3,2,3,1,0,3,1,0,1,0,0,0,0,1,4,4,1,5,0,11,12,10.0
394,1,19,1,1,1,2,4,1,1,1,0,1,0,0,0,0,1,3,2,3,5,5,8,9,9.0
